Date,Sector_Name,Close
20250325,油電燃氣類指數,56.71
20250325,玻璃陶瓷類指數,48.11
20250325,生技醫療類指數,76.37
20250325,發行量加權股價指數,22273.19
20250325,紡織纖維類指數,605.87
20250325,綠能環保類指數,108.42
20250325,臺指反向一倍指數,2877.82
20250325,臺指日報酬兩倍指數,58178.85
20250325,臺灣50指數,18473.44
20250325,臺灣50權重上限30%指數,16049.18
20250325,臺灣中型100指數,19211.13
20250325,臺灣公司治理100指數,13166.85
20250325,臺灣就業99指數,13288.04
20250325,臺灣發達指數,9897.62
20250325,臺灣資訊科技指數,36545.74
20250325,臺灣高股息指數,9473.25
20250325,臺灣高薪100指數,12016.44
20250325,航運類指數,207.74
20250325,觀光餐旅類指數,119.96
20250325,貿易百貨類指數,272.06
20250325,資訊服務類指數,236.11
20250325,通信網路類指數,168.72
20250325,造紙類指數,282.04
20250325,運動休閒類指數,94.29
20250325,金融保險類指數,2144.81
20250325,鋼鐵類指數,138.27
20250325,電器電纜類指數,93.07
20250325,電子工業類指數,1207.7
20250325,電子通路類指數,240.48
20250325,電子零組件類指數,227.18
20250325,電子類兩倍槓桿指數,72226.53
20250325,電子類反向指數,2143.05
20250325,電機機械類指數,382.64
20250325,電腦及週邊設備類指數,257.35
20250325,食品類指數,2156.55
20250324,光電類指數,39.45
20250324,其他電子類指數,153.28
20250324,其他類指數,323.21
20250324,化學生技醫療類指數,137.86
20250324,化學類指數,167.47
20250324,半導體類指數,606.95
20250324,塑膠化工類指數,621.1
20250324,塑膠類指數,113.33
20250324,寶島股價指數,25026.99
20250324,小型股300指數,11350.56
20250324,居家生活類指數,123.17
20250324,建材營造類指數,578.01
20250324,數位雲端類指數,62.6
20250324,未含金融指數,19170.39
20250324,未含金融電子指數,14706.25
20250324,未含電子指數,19618.04
20250324,機電類指數,6650.43
20250324,橡膠類指數,265.87
20250324,水泥窯製類指數,613.45
20250324,水泥類指數,161.1
20250324,汽車類指數,378.82
20250324,油電燃氣類指數,57.3
20250324,玻璃陶瓷類指數,49.21
20250324,生技醫療類指數,76.14
20250324,發行量加權股價指數,22106.64
20250324,紡織纖維類指數,609.42
20250324,綠能環保類指數,108.65
20250324,臺指反向一倍指數,2899.67
20250324,臺指日報酬兩倍指數,57315.23
20250324,臺灣50指數,18242.55
20250324,臺灣50權重上限30%指數,15902.48
20250324,臺灣中型100指數,19206.71
20250324,臺灣公司治理100指數,13025.49
20250324,臺灣就業99指數,13282.03
20250324,臺灣發達指數,9898.2
20250324,臺灣資訊科技指數,36000.9
20250324,臺灣高股息指數,9464.99
20250324,臺灣高薪100指數,11974.75
20250324,航運類指數,208.11
20250324,觀光餐旅類指數,120.12
20250324,貿易百貨類指數,273.57
20250324,資訊服務類指數,233.95
20250324,通信網路類指數,168.59
20250324,造紙類指數,283.57
20250324,運動休閒類指數,94.66
20250324,金融保險類指數,2145.78
20250324,鋼鐵類指數,141.65
20250324,電器電纜類指數,94.81
20250324,電子工業類指數,1193.21
20250324,電子通路類指數,242.12
20250324,電子零組件類指數,226.76
20250324,電子類兩倍槓桿指數,70513.93
20250324,電子類反向指數,2169.39
20250324,電機機械類指數,381.08
20250324,電腦及週邊設備類指數,257.22
20250324,食品類指數,2150.2
20250321,光電類指數,39.73
20250321,其他電子類指數,155.14
20250321,其他類指數,324.15
20250321,化學生技醫療類指數,139.38
20250321,化學類指數,168.98
20250321,半導體類指數,607.96
20250321,塑膠化工類指數,627.57
20250321,塑膠類指數,114.52
20250321,寶島股價指數,25155.69
20250321,小型股300指數,11438.39
20250321,居家生活類指數,122.53
20250321,建材營造類指數,575.43
20250321,數位雲端類指數,62.44
20250321,未含金融指數,19278.31
20250321,未含金融電子指數,14778.52
20250321,未含電子指數,19656.79
20250321,機電類指數,6690.61
20250321,橡膠類指數,267.9
20250321,水泥窯製類指數,612.71
20250321,水泥類指數,161.31
20250321,汽車類指數,384.53
20250321,油電燃氣類指數,57.42
20250321,玻璃陶瓷類指數,48.31
20250321,生技醫療類指數,77.06
20250321,發行量加權股價指數,22209.1
20250321,紡織纖維類指數,611.69
20250321,綠能環保類指數,109.57
20250321,臺指反向一倍指數,2886.35
20250321,臺指日報酬兩倍指數,57848.99
20250321,臺灣50指數,18292.82
20250321,臺灣50權重上限30%指數,15971.95
20250321,臺灣中型100指數,19394.05
20250321,臺灣公司治理100指數,13060.27
20250321,臺灣就業99指數,13347.79
20250321,臺灣發達指數,9996.25
20250321,臺灣資訊科技指數,36136.81
20250321,臺灣高股息指數,9512.51
20250321,臺灣高薪100指數,12011.94
20250321,航運類指數,207.53
20250321,觀光餐旅類指數,120.02
20250321,貿易百貨類指數,276.43
20250321,資訊服務類指數,236.85
20250321,通信網路類指數,170.26
20250321,造紙類指數,285.22
20250321,運動休閒類指數,96.17
20250321,金融保險類指數,2138.81
20250321,鋼鐵類指數,141.74
20250321,電器電纜類指數,94.82
20250321,電子工業類指數,1200.18
20250321,電子通路類指數,242.33
20250321,電子零組件類指數,230.24
20250321,電子類兩倍槓桿指數,71342.57
20250321,電子類反向指數,2156.86
20250321,電機機械類指數,387.1
20250321,電腦及週邊設備類指數,262.42
20250321,食品類指數,2149.1
20250320,光電類指數,40.22
20250320,其他電子類指數,155.41
20250320,其他類指數,323.64
20250320,化學生技醫療類指數,139.61
20250320,化學類指數,170.04
20250320,半導體類指數,615.02
